0	1	虞世南	蝉	垂緌饮清露，流响出疏桐。居高声自远，非是藉秋风。
20	0	宋之问	题大庾岭北驿	阳月南飞雁，传闻至此回。我行殊未已，何日复归来？江静潮初落，林昏瘴不开。明朝望乡处，应见陇头梅。
21	0	宋之问	早发始兴江口至虚氏村作	候晓逾闽嶂，乘春望越台。宿云鹏际落，残月蚌中开。薜荔摇青气，桄榔翳碧苔。桂香多露裛，石响细泉回。抱叶玄猿啸，衔花翡翠来。南中虽可悦，北思日悠哉。鬒发俄成素，丹心已作灰。何当首归路，行剪故园莱。
22	0	宋之问	渡汉江	岭外音书断，经冬复历春。近乡情更怯，不敢问来人。
23	0	沈佺期	杂诗三首（其三）	闻道黄龙戍，频年不解兵。可怜闺里月，长在汉家营。少妇今春意，良人咋夜情。谁能将旗鼓，一为取龙城。
24	0	沈佺期	夜宿七盘岭	独游千里外，高卧七盘西。山月临窗近，天河入户低。芳春平仲绿，清夜子规啼。浮客空留听，褒城闻曙鸡。
25	0	沈佺期	独不见	卢家少妇郁金堂，海燕双栖玳瑁梁。九月寒砧催木叶，十年征戍忆辽阳。白狼河北音书断，丹凤城南秋夜长。谁谓含愁独不见，更教明月照流黄！
26	1	郭震	古剑篇	君不见昆吾铁冶飞炎烟，红光紫气俱赫然。良工锻炼凡几年，铸得宝剑名龙泉。龙泉颜色如霜雪，良工咨嗟叹奇绝。琉璃玉匣吐莲花，错镂金环映明月。正逢天下无风尘，幸得周防君子身。精光黯黯青蛇色，文章片片绿龟鳞。非直结交游侠子，亦曾亲近英雄人。何言中路遭弃捐，零落飘沦古狱边。虽复沉埋无所用，犹能夜夜气冲天。
27	0	陈子昂	感遇三十八首（其二）	兰若生春夏，芊蔚何青青！幽独空林色，朱蕤冒紫茎。迟迟白日晚，嫋嫋秋风生。岁华尽摇落，芳意竟何成？
28	0	陈子昂	感遇三十八首（其四）	乐羊为魏将，食子殉军功。骨肉且相薄，他人安得忠？吾闻中山相，乃属放麑翁。孤兽犹不忍，况以奉君终。
29	0	陈子昂	感遇三十八首（其二十三）	翡翠巢南海，雄雌珠树林。何知美人意，骄爱比黄金？杀身炎洲里，委羽玉堂阴，旖旎光首饰，葳蕤烂锦衾。岂不在遐远？虞罗忽见寻。多材信为累，叹息此珍禽。
30	0	陈子昂	燕昭王	南登碣石馆，遥望黄金台。丘陵尽乔木，昭王安在哉？霸图今已矣，驱马复归来。
31	0	陈子昂	登幽州台歌	前不见古人，后不见来者。念天地之悠悠，独怆然而涕下！
32	0	陈子昂	晚次乐乡县	故乡杳无际，日暮且孤征。川原迷旧国，道路入边城。野戍荒烟断，深山古木平。如何此时恨，噭噭夜猿鸣。
33	1	陈子昂	送魏大从军	匈奴犹未灭，魏绛复从戎。怅别三河道，言追六郡雄。雁山横代北，狐塞接云中。勿使燕然上，惟留汉将功。
34	0	陈子昂	春夜别友人	银烛吐青烟，金樽对绮筵。离堂思琴瑟，别路绕山川。明月隐高树，长河没晓天。悠悠洛阳道，此会在何年。
35	1	贺知章	咏柳	碧玉妆成一树高，万条垂下绿丝绦。不知细叶谁裁出，二月春风似剪刀。
36	0	贺知章	回乡偶书二首	少小离家老大回，乡音无改鬓毛衰。儿童相见不相识，笑问客从何处来。离别家乡岁月多，近来人事半消磨。惟有门前镜湖水，春风不改旧时波。
37	0	沈如筠	闺怨	雁尽书难寄，愁多梦不成。愿随孤月影，流照伏波营。
38	0	张说	蜀道后期	客心争日月，来往预期程。秋风不相待，先至洛阳城。
39	1	苏颋	奉和春日幸望春宫应制	东望望春春可怜，更逢晴日柳含烟。宫中下见南山尽，城上平临北斗悬。细草偏承回辇处，飞花故落奉觞前。宸游对此欢无极，鸟弄歌声杂管弦。
40	0	苏颋	汾上惊秋	北风吹白云，万里渡河汾。心绪逢摇落，秋声不可闻。
41	1	张敬忠	边词	五原春色旧来迟，二月垂杨未挂丝。即今河畔冰开日，正是长安花落时。
42	1	张九龄	感遇十二首（其一）	兰叶春葳蕤，桂华秋皎洁。欣欣此生意，自尔为佳节。谁知林栖者，闻风坐相悦。草木有本心，何求美人折？
43	1	张九龄	湖口望庐山瀑布水	万丈红泉落，迢迢半紫氛。奔流下杂树，洒落出重云。日照虹霓似，天清风雨闻。灵山多秀色，空水共氤氲。
44	0	张九龄	望月怀远	海上生明月，天涯共此时。情人怨遥夜，竟夕起相思。灭烛怜光满，披衣觉露滋。不堪盈手赠，还寝梦佳期。
45	1	王之涣	登鹳雀楼	白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
46	0	王之涣	凉州词	黄河远上白云间，一片孤城万仞山。羌笛何须怨杨柳，春风不度玉门关。
47	0	王之涣	宴词	长堤春水绿悠悠，畎入漳河一道流。莫听声声催去棹，桃溪浅处不胜舟。
48	1	孟浩然	夏日南亭怀辛大	山光忽西落，池月渐东上。散发乘夕凉，开轩卧闲敞。荷风送香气，竹露滴清响。欲取鸣琴弹，恨无知音赏。感此怀故人，中宵劳梦想。
49	0	孟浩然	夜归鹿门歌	山寺鸣钟昼已昏，渔梁渡头争渡喧。人随沙岸向江村，余亦乘舟归鹿门。鹿门月照开烟树，忽到庞公栖隐处。岩扉松径长寂寥，唯有幽人独来去。
50	0	孟浩然	秦中感秋寄远上人	一丘常欲卧，三径苦无资。北土非吾愿，东林怀我师。黄金燃桂尽，壮志逐年衰。日夕凉风至，闻蝉但益悲。
51	0	孟浩然	宿桐庐江寄广陵旧游	山暝听猿愁，沧江急夜流。风鸣两岸叶，月照一孤舟。建德非吾土，维扬忆旧游。还将两行泪，遥寄海西头。
52	0	孟浩然	早寒有怀	木落雁南度，北风江上寒。我家襄水曲，遥隔楚云端。乡泪客中尽，归帆天际看。迷津欲有问，平海夕漫漫。
53	0	孟浩然	留别王维	寂寂竟何待，朝朝空自归。欲寻芳草去，惜与故人违。当路谁相假？知音世所稀。只应守寂寞，还掩故园扉。
54	0	孟浩然	与诸子登岘首	人事有代谢，往来成古今。江山留胜迹，我辈复登临。水落鱼梁浅，天寒梦泽深。羊公碑尚在，读罢泪沾襟。
55	1	孟浩然	题义公禅房	义公习禅寂，结宇依空林。户外一峰秀，阶前众壑深。夕阳连雨足，空翠落庭阴。看取莲花净，方知不染心。
56	1	孟浩然	过故人庄	故人具鸡黍，邀我至田家。绿树村边合，青山郭外斜。开轩面场圃，把酒话桑麻。待到重阳日，还来就菊花。
57	1	孟浩然	舟中晓望	挂席东南望，青山水国遥。舳舻争利涉，来往接风潮。问我今何适？天台访石桥。坐看霞色晓，疑是赤城标。
58	0	孟浩然	岁暮归南山	北阙休上书，南山归敝庐。不才明主弃，多病故人疏。白发催年老，青阳逼岁除。永怀愁不寐，松月夜窗虚。
59	1	孟浩然	春晓	春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少？
60	0	孟浩然	洛中访袁拾遗不遇	洛阳访才子，江岭作流人。闻说梅花早，何如北地春。
61	0	孟浩然	宿建德江	移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。
62	0	孟浩然	送杜十四之江南	荆吴相接水为乡，君去春江正渺茫。日暮征帆何处泊？天涯一望断人肠。
63	0	李颀	古从军行	白日登山望烽火，黄昏饮马傍交河。行人刁斗风沙暗，公主琵琶幽怨多。野云万里无城郭，雨雪纷纷连大漠。胡雁哀鸣夜夜飞，胡儿眼泪双双落。闻道玉门犹被遮，应将性命逐轻车。年年战骨埋荒外，空见蒲桃入汉家。
64	1	王昌龄	采莲曲二首（其二）	荷叶罗裙一色裁，芙蓉向脸两边开。乱入池中看不见，闻歌始觉有人来。
65	1	王昌龄	青楼曲二首	白马金鞍随武皇，旌旗十万宿长杨。楼头少妇鸣筝坐，遥见飞尘入建章。驰道杨花满御沟，红妆漫绾上青楼。金章紫绶千余骑，夫婿朝回初拜侯。
66	1	王维	青溪	言入黄花川，每逐青溪水。随山将万转，趣途无百里。声喧乱石中，色静深松里。漾漾泛菱荇，澄澄映葭苇。我心素已闲，清川澹如此。请留盘石上，垂钓将已矣。
67	1	王维	渭川田家	斜光照墟落，穷巷牛羊归。野老念牧童，倚杖候荆扉。雉雊麦苗秀，蚕眠桑叶稀。田夫荷锄至，相见语依依。即此羡闲逸，怅然吟《式微》。
68	1	王维	春中田园作	屋上春鸠鸣，村边杏花白。持斧伐远扬，荷锄觇泉脉。归燕识故巢，旧人看新历。临觞忽不御，惆怅思远客。
69	1	王维	新晴野望	新晴原野旷，极目无氛垢。郭门临渡头，村树连溪口。白水明田外，碧峰出山后。农月无闲人，倾家事南亩。
70	1	王维	送梓州李使君	万壑树参天，千山响杜鹃。山中一夜雨，树杪百重泉。汉女输橦布，巴人讼芋田。文翁翻教授，不敢倚先贤。
71	1	王维	山居秋暝	空山新雨后，天气晚来秋。明月松间照，清泉石上流。竹喧归浣女，莲动下渔舟。随意春芳歇，王孙自可留。
72	1	王维	终南别业	中岁颇好道，晚家南山陲。兴来每独往，胜事空自知。行到水穷处，坐看云起时。偶然值林叟，谈笑无还期。
73	1	王维	观猎	风劲角弓鸣，将军猎渭城。草枯鹰眼疾，雪尽马蹄轻。忽过新丰市，还归细柳营。回看射雕处，千里暮云平。
74	1	王维	汉江临泛	楚塞三湘接，荆门九派通。江流天地外，山色有无中。郡邑浮前浦，波澜动远空。襄阳好风日，留醉与山翁。
75	1	王维	和贾至舍人早朝大明宫之作	绛帻鸡人报晓筹，尚衣方进翠云裘。九天阊阖开宫殿，万国衣冠拜冕旒。日色才临仙掌动，香烟欲傍袞龙浮。朝罢须裁五色诏，佩声归到凤池头。
76	1	王维	出塞作	居延城外猎天骄，白草连天野火烧。暮云空碛时驱马，秋日平原好射雕。护羌校尉朝乘障，破虏将军夜渡辽。玉靶角弓珠勒马，汉家将赐霍嫖姚。
77	1	王维	春日与裴迪过新昌里访吕逸人不遇	桃源一向绝风尘，柳市南头访隐沦。到门不敢题凡鸟，看竹何须问主人。城上青山如屋里，东家流水入西邻。闭户著书多岁月，种松皆作老龙鳞。
78	1	王维	栾家濑	飒飒秋雨中，浅浅石溜泻。跳波自相溅，白鹭惊复下。
79	1	王维	白石滩	清浅白石滩，绿蒲向堪把。家住水东西，浣纱明月下。
80	1	王维	竹里馆	独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。
81	1	王维	鸟鸣涧	人闲桂花落，夜静春山空。月出惊山鸟，时鸣春涧中。
82	1	王维	相思	红豆生南国，春来发几枝？愿君多采撷，此物最相思。
83	1	王维	书事	轻阴阁小雨，深院昼慵开。坐看苍苔色，欲上人衣来。
84	1	王维	田园乐（其六）	桃红复含宿雨，柳绿更带朝烟。花落家童未扫，莺啼山客犹眠。
85	1	王维	少年行（其一）	新丰美酒斗十千，咸阳游侠多少年。相逢意气为君饮，系马高楼垂柳边。
86	0	韩翃	宿石邑山中	浮云不共此山齐，山霭苍苍望转迷。晓月暂飞高树里，秋河隔在数峰西。
87	1	司空曙	江村即事	钓罢归来不系船，江村月落正堪眠。纵然一夜风吹去，只在芦花浅水边。
88	1	李端	鸣筝	鸣筝金粟柱，素手玉房前。欲得周郎顾，时时误拂弦。
89	1	胡令能	小儿垂钓	蓬头稚子学垂纶，侧坐莓苔草映身。路人借问遥招手，怕得鱼惊不应人。
90	1	顾况	过山农家	板桥人渡泉声，茅檐日午鸡鸣。莫嗔焙茶烟暗，却喜晒谷天晴。
91	1	于良史	春山夜月	春山多胜事，赏玩夜忘归。掬水月在手，弄花香满衣。兴来无远近，欲去惜芳菲。南望鸣钟处，楼台深翠微。
92	0	柳中庸	听筝	抽弦促柱听秦筝，无限秦人悲怨声。似逐春风知柳态，如随啼鸟识花情。谁家独夜愁灯影？何处空楼思月明？更入几重离别恨，江南歧路洛阳城。
93	0	柳中庸	征人怨	岁岁金河复玉关，朝朝马策与刀环。三春白雪归青冢，万里黄河绕黑山。
94	1	戴叔伦	兰溪棹歌	凉月如眉挂柳湾，越中山色镜中看。兰溪三日桃花雨，半夜鲤鱼来上滩。
95	1	卢纶	塞下曲六首（其三）	月黑雁飞高，单于夜遁逃。欲将轻骑逐，大雪满弓刀。
96	1	韩愈	春雪	新年都未有芳华，二月初惊见草芽。白雪却嫌春色晚，故穿庭树作飞花。
97	1	韩愈	晚春	草树知春不久归，百般红紫斗芳菲。杨花榆荚无才思，惟解漫天作雪飞。
98	1	韩愈	早春呈水部张十八员外二首（其一）	天街小雨润如酥，草色遥看近却无。最是一年春好处，绝胜烟柳满皇都。
99	1	刘禹锡	淮阴行五首（其四）	何物令侬羡？羡郎船尾燕。衔泥趁樯竿，宿食长相见。
100	1	刘禹锡	竹枝词二首（其一）	杨柳青青江水平，闻郎江上唱歌声。东边日出西边雨，道是无晴还有晴。
101	1	刘禹锡	堤上行三首（其一、其二）	酒旗相望大堤头，堤下连樯堤上楼。日暮行人争渡急，桨声幽轧满中流。江南江北望烟波，入夜行人相应歌。《桃叶》传情《竹枝》怨，水流无限月明多。
102	1	刘禹锡	踏歌词四首（其三）	新词宛转递相传，振袖倾鬟风露前。月落乌啼云雨散，游童陌上拾花钿。
103	0	刘禹锡	阿娇怨	望见葳蕤举翠华，试开金屋扫庭花。须臾宫女传来信，言幸平阳公主家。
104	1	刘禹锡	秋词二首	自古逢秋悲寂寥，我言秋日胜春朝。晴空一鹤排云上，便引诗情到碧霄。山明水净夜来霜，数树深红出浅黄。试上高楼清入骨，岂如春色嗾人狂。
105	1	刘禹锡	竹枝词九首（其九）	山上层层桃李花，云间烟火是人家。银钏金钗来负水，长刀短笠去烧畲。
106	1	刘禹锡	浪淘沙九首（其六）	日照澄洲江雾开，淘金女伴满江隈。美人首饰侯王印，尽是沙中浪底来。
107	0	刘禹锡	和乐天《春词》	新妆宜面下朱楼，深锁春光一院愁。行到中庭数花朵，蜻蜓飞上玉搔头。
108	1	刘禹锡	望洞庭	湖光秋月两相和，潭面无风镜未磨。遥望洞庭山水色，白银盘里一青螺。
109	1	白居易	问刘十九	绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？
110	0	白居易	寒闺怨	寒月沉沉洞房静，真珠帘外梧桐影。秋霜欲下手先知，灯底裁缝剪刀冷。
111	1	白居易	钱塘湖春行	孤山寺北贾亭西，水面初平云脚低。几处早莺争暖树，谁家新燕啄春泥。乱花渐欲迷人眼，浅草才能没马蹄。最爱湖东行不足，绿杨阴里白沙堤。
112	1	白居易	西湖晚归回望孤山寺赠诸客	柳湖松岛莲花寺，晚动归桡出道场。卢橘子低山雨重，栟榈叶战水风凉。烟波淡荡摇空碧，楼殿参差倚夕阳。到岸请君回首望，蓬莱宫在海中央。
113	1	白居易	杭州春望	望海楼明照曙霞，护江堤白踏晴沙。涛声夜入伍员庙，柳色春藏苏小家。红袖织绫夸柿蒂，青旗沽酒趁梨花。谁开湖寺西南路，草绿裙腰一道斜。
114	0	白居易	秋雨夜眠	凉冷三秋夜，安闲一老翁。卧迟灯灭后，睡美雨声中。灰宿温瓶火，香添暖被笼。晓晴寒未起，霜叶满阶红。
115	0	白居易	与梦得沽酒闲饮且约后期	少时犹不忧生计，老后谁能惜酒钱？共把十千沽一斗，相看七十欠三年。闲征雅令穷经史，醉听清吟胜管弦。更待菊黄家酝熟，共君一醉一陶然。
116	0	白居易	览卢子蒙侍御旧诗，多与微之唱和。感今伤昔，因赠子蒙，题于卷后	昔闻元九咏君诗，恨与卢君相识迟。今日逢君开旧卷，卷中多道赠微之。相看泪眼情难说，别有伤心事岂知？闻道咸阳坟上树，已抽三丈白杨枝！
117	0	白居易	杨柳枝词	一树春风千万枝，嫩于金色软于丝。永丰西角荒园里，尽日无人属阿谁？
118	1	白居易	白云泉	天平山上白云泉，云自无心水自闲。何必奔冲山下去，更添波浪向人间！
119	0	李绅	悯农二首	春种一粒粟，秋收万颗子。四海无闲田，农夫犹饿死。锄禾日当午，汗滴禾下土。谁知盘中餐，粒粒皆辛苦。
120	0	柳宗元	与浩初上人同看山寄京华亲故	海畔尖山似剑芒，秋来处处割愁肠。若为化作身千亿，散向峰头望故乡。
121	0	韩偓	惜花	皱白离情高处切，腻红愁态静中深。眼随片片沿流去，恨满枝枝被雨淋。总得苔遮犹慰意，若教泥污更伤心。临轩一盏悲春酒，明日池塘是绿阴。
122	0	韩偓	春尽	惜春连日醉昏昏，醒后衣裳见酒痕。细水浮花归别涧，断云含雨入孤村。人闲易有芳时恨，地迥难招自古魂。惭愧流莺相厚意，清晨犹为到西园。
123	0	韩偓	效崔国辅体四首	淡月照中庭，海棠花自落。独立俯闲阶，风动秋千索。酒力滋睡眸，卤莽闻街鼓。欲明天更寒，东风打窗雨。雨后碧苔院，霜来红叶楼。闲阶上斜日，鹦鹉伴人愁。罗幕生春寒，绣窗愁未眠。南湖一夜雨，应湿采莲船。
124	0	吴融	卖花翁	和烟和露一丛花，担入宫城许史家。惆怅东风无处说，不教闲地著春华。
125	0	吴融	子规	举国繁华委逝川，羽毛飘荡一年年。他山叫处花成血，旧苑春来草似烟。雨暗不离浓绿树，月斜长吊欲明天。湘江日暮声凄切，愁杀行人归去船。
126	0	吴融	途中见杏花	一枝红艳出墙头，墙外行人正独愁。长得看来犹有恨，可堪逢处更难留！林空色暝莺先到，春浅香寒蝶未游。更忆帝乡千万树，澹烟笼日暗神州。
127	1	张槟	登单于台	边兵春尽回，独上单于台。白日地中出，黄河天外来。沙翻痕似浪，风急响疑雷。欲向阴关度，阴关晓不开。
128	0	金昌绪	春怨	打起黄莺儿，莫教枝上啼。啼时惊妾梦，不得到辽西。
129	0	鱼玄机	江陵愁望有寄	枫叶千枝复万枝，江桥掩映暮帆迟。忆君心似西江水，日夜东流无歇时。
130	1	郑谷	菊	王孙莫把比蓬蒿，九日枝枝近鬓毛。露湿秋香满池岸，由来不羡瓦松高。
131	0	郑谷	淮上与友人别	扬子江头杨柳春，杨花愁杀渡江人。数声风笛离亭晚，君向潇湘我向秦。
132	0	郑谷	鹧鸪	暖戏烟芜锦翼齐，品流应得近山鸡。雨昏青草湖边过，花落黄陵庙里啼。游子乍闻征袖湿，佳人才唱翠眉低。相呼相应湘江阔，苦竹丛深日向西。
133	1	郑谷	海棠	春风用意匀颜色，销得携觞与赋诗。秾丽最宜新著雨，娇娆全在欲开时。莫愁粉黛临窗懒，梁广丹青点笔迟。朝醉暮吟看不足，羡他蝴蝶宿深枝。
134	0	郑谷	中年	漠漠秦云淡淡天，新年景象入中年。情多最恨花无语，愁破方知酒有权。苔色满墙寻故第，雨声一夜忆春田。衰迟自喜添诗学，更把前题改数联。
135	0	杜荀鹤	春宫怨	早被婵娟误，欲妆临镜慵。承恩不在貌，教妾若为容？风暖鸟声碎，日高花影重。年年越溪女，相忆采芙蓉。
136	1	杜荀鹤	送友游吴越	去越从吴过，吴疆与越连。有园多种桔，无水不生莲。夜市桥边火，春风寺外船。此中偏重客，君去必经年。
137	0	杜荀鹤	山中寡妇	夫因兵死守蓬茅，麻苎衣衫鬓发焦。桑柘废来犹纳税，田园荒后尚徵苗。时挑野菜和根煮，旋斫生柴带叶烧。任是深山更深处，也应无计避征徭。
138	0	杜荀鹤	自叙	酒瓮琴书伴病身，熟谙时事乐于贫。宁为宇宙闲吟客，怕作乾坤窃禄人。诗旨未能忘救物，世情奈值不容真。平生肺腑无言处，白发吾唐一逸人。
139	0	杜荀鹤	再经胡城县	去岁曾经此县城，县民无口不冤声。今来县宰加朱绂，便是生灵血染成。
140	0	杜荀鹤	溪兴	山雨溪风卷钓丝，瓦瓯篷底独斟时。醉来睡着无人唤，流到前溪也不知。
141	1	杜荀鹤	赠质上人	枿坐云游出世尘，兼无瓶钵可随身。逢人不说人间事，便是人间无事人。
142	1	罗虬	比红儿诗（百首录一）	薄罗轻剪越溪纹，鸦翅低从两鬓分。料得相如偷见面，不应琴里挑文君。
143	1	贯休	春晚书山家屋壁二首	柴门寂寂黍饭馨，山家烟火春雨晴。庭花蒙蒙水泠泠，小儿啼索树上莺。水香塘黑蒲森森，鸳鸯鸂鶒如家禽。前村后垄桑柘深，东邻西舍无相侵。蚕娘洗茧前溪渌，牧童吹笛和衣浴。山翁留我宿又宿，笑指西坡瓜豆熟。
144	0	崔涂	孤雁	几行归塞尽，念尔独何之？暮雨相呼失，寒塘欲下迟。渚云低暗度，关月冷相随。未必逢矰缴，孤飞自可疑。
145	0	崔涂	春夕	水流花谢两无情，送尽东风过楚城。蝴蝶梦中家万里，子规枝上月三更。故园书动经年绝，华发春唯满镜生。自是不归归便得，五湖烟景有谁争？
146	0	秦韬玉	贫女	蓬门未识绮罗香，拟托良媒益自伤。谁爱风流高格调，共怜时世俭梳妆。敢将十指夸针巧，不把双眉斗画长。苦恨年年压金线，为他人作嫁衣裳！
147	0	唐彦谦	采桑女	春风吹蚕细如蚁，桑芽才努青鸦嘴。侵晨采桑谁家女，手挽长条泪如雨。去岁初眠当此时，今岁春寒叶放迟。愁听门外催里胥，官家二月收新丝。
148	1	王驾	社日	鹅湖山下稻粱肥，豚栅鸡栖半掩扉。桑柘影斜春社散，家家扶得醉人归。
149	1	王驾	雨晴	雨前初见花间蕊，雨后全无叶底花。蜂蝶纷纷过墙去，却疑春色在邻家。
150	0	陈玉兰	寄夫	夫戍边关妾在吴，西风吹妾妾忧夫。一行书信千行泪，寒到君边衣到无？
151	1	齐己	早梅	万木冻欲折，孤根暖独回。前村深雪里，昨夜一枝开。风递幽香出，禽窥素艳来。明年如应律，先发望春台。
152	0	李洞	绣岭宫词	春日迟迟春草绿，野棠开尽飘香玉。绣岭宫前鹤发翁，犹唱开元太平曲。
153	1	卢汝弼	和李秀才边庭四时怨（其四）	朔风吹雪透刀瘢，饮马长城窟更寒。半夜火来知有敌，一时齐保贺兰山。
154	0	花蕊夫人徐氏	述国亡诗	君王城上竖降旗，妾在深宫那得知？十四万人齐解甲，更无一个是男儿。
155	0	翁宏	春残	又是春残也，如何出翠帏？落花人独立，微雨燕双飞。寓目魂将断，经年梦亦非。那堪向愁夕，萧飒暮蝉辉。
156	0	谭用之	秋宿湘江遇雨	湘上阴云锁梦魂，江边深夜舞刘琨。秋风万里芙蓉国，暮雨千家薜荔村。乡思不堪悲橘柚，旅游谁肯重王孙。渔人相见不相问，长笛一声归岛门。
157	0	张泌	寄人	别梦依依到谢家，小廊回合曲阑斜。多情只有春庭月，犹为离人照落花。
158	1	捧剑仆	诗	青鸟衔葡萄，飞上金井栏。美人恐惊去，不敢卷帘看。
159	0	孟宾于	公子行	锦衣红夺彩霞明，侵晓春游向野庭。不识农夫辛苦力，骄骢踏烂麦青青。
